"","replicate","BSMreplicate","nodeStart","nodeEnd","nodeEndLabel","ageStart","ageEnd","rangeAncestor","rangeStart","rangeEnd","transitionCladog","transitionCladogType","transitionAnag","transitionAnagType","transitionTime","nodeOfInterest","BGBeventTypeClado","BGBeventTypeAnag"
"2886",2,3,126,127,"inNode127",13.99,7.73,"A","A","ACD","A -> A","in_situ_speciation","A -> ACD","dispersal","13.5","","vicariance (v)","d"
"2887",2,3,127,128,"inNode128",7.73,6.1,"ACD","AD","AD","ACD -> AD","allopatry","–","–","–","","subset (s)",""
"2888",2,3,128,129,"inNode129",6.1,3.25,"AD","AD","AD","AD -> AD","subset_sympatry","–","–","–","","subset (s)",""
"2889",2,3,129,130,"inNode130",3.25,1.01,"AD","AD","AD","AD -> AD","subset_sympatry","–","–","–","","vicariance (v)",""
"2890",2,3,130,131,"inNode131",1.01,0.95,"AD","A","A","AD -> A","allopatry","–","–","–","","sympatry (y)",""
"2891",2,3,127,132,"inNode132",7.73,4.2,"ACD","C","C","ACD -> C","allopatry","–","–","–","","sympatry (y)",""
"2892",2,3,132,133,"inNode133",4.2,1.83,"C","C","CE","C -> C","in_situ_speciation","C -> CE","dispersal","3.97","","subset (s)","d"
"2893",2,3,133,134,"inNode134",1.83,1.76,"CE","CE","CE","CE -> CE","subset_sympatry","–","–","–","","subset (s)",""
"2894",2,3,134,135,"inNode135",1.76,0.79,"CE","CE","BCE","CE -> CE","subset_sympatry","CE -> BCE","dispersal","1.27","","subset (s)","d"
"2895",2,3,125,136,"inNode136",15.9,0.4,"A","A","CE","A -> A","in_situ_speciation","A -> CE","dispersal_and_extinction","11.34","","vicariance (v)","d"
"2896",2,3,136,137,"inNode137",0.4,0.22,"CE","C","C","CE -> C","allopatry","–","–","–","","sympatry (y)",""
"2897",2,3,124,138,"inNode138",17.27,12.51,"A","A","A","A -> A","in_situ_speciation","–","–","–","","sympatry (y)",""
"2898",2,3,138,139,"inNode139",12.51,8.44,"A","A","A","A -> A","in_situ_speciation","–","–","–","","sympatry (y)",""
"2899",2,3,139,140,"inNode140",8.44,7.47,"A","A","AD","A -> A","in_situ_speciation","A -> AD","dispersal","7.92","","subset (s)","d"
"2900",2,3,140,141,"inNode141",7.47,6.47,"AD","AD","AD","AD -> AD","subset_sympatry","–","–","–","","vicariance (v)",""
"2901",2,3,141,142,"inNode142",6.47,3.46,"AD","D","D","AD -> D","allopatry","–","–","–","","sympatry (y)",""
"2902",2,3,142,143,"inNode143",3.46,1.9,"D","D","D","D -> D","in_situ_speciation","–","–","–","","sympatry (y)",""
"2903",2,3,141,144,"inNode144",6.47,0.58,"AD","A","AG","AD -> A","allopatry","A -> AG","dispersal","0.84","","subset (s)","d"
"2904",2,3,140,145,"inNode145",7.47,3.47,"AD","A","A","AD -> A","subset_sympatry","–","–","–","","sympatry (y)",""
"2905",2,3,145,146,"inNode146",3.47,1.98,"A","A","A","A -> A","in_situ_speciation","–","–","–","","sympatry (y)",""
"2906",2,3,139,147,"inNode147",8.44,3.87,"A","A","A","A -> A","in_situ_speciation","–","–","–","","sympatry (y)",""
"2907",2,3,147,148,"inNode148",3.87,3.3,"A","A","A","A -> A","in_situ_speciation","–","–","–","","sympatry (y)",""
"2908",2,3,148,149,"inNode149",3.3,3.21,"A","A","A","A -> A","in_situ_speciation","–","–","–","","sympatry (y)",""
"2909",2,3,123,150,"inNode150",22,20.28,"A","A","AI","A -> A","in_situ_speciation","A -> AI","dispersal","20.81","","vicariance (v)","d"
"2910",2,3,150,151,"inNode151",20.28,12.66,"AI","A","A","AI -> A","allopatry","–","–","–","","sympatry (y)",""
"2911",2,3,151,152,"inNode152",12.66,4.76,"A","A","A","A -> A","in_situ_speciation","–","–","–","","sympatry (y)",""
"2912",2,3,152,153,"inNode153",4.76,2.81,"A","A","A","A -> A","in_situ_speciation","–","–","–","","sympatry (y)",""
"2913",2,3,153,154,"inNode154",2.81,2.53,"A","A","A","A -> A","in_situ_speciation","–","–","–","","sympatry (y)",""
"2914",2,3,154,155,"inNode155",2.53,1.11,"A","A","A","A -> A","in_situ_speciation","–","–","–","","sympatry (y)",""
"2915",2,3,152,156,"inNode156",4.76,4.31,"A","A","A","A -> A","in_situ_speciation","–","–","–","","sympatry (y)",""
"2916",2,3,156,157,"inNode157",4.31,1.91,"A","A","ABD","A -> A","in_situ_speciation","A -> ABD","dispersal","3.42","","subset (s)","d"
"2917",2,3,122,158,"inNode158",23.39,21.5,"AI","AI","AGI","AI -> AI","subset_sympatry","AI -> AGI","dispersal","23.33","","vicariance (v)","d"
"2918",2,3,158,159,"inNode159",21.5,20.94,"AGI","AG","AG","AGI -> AG","allopatry","–","–","–","","vicariance (v)",""
"2919",2,3,159,160,"inNode160",20.94,20.11,"AG","A","A","AG -> A","allopatry","–","–","–","","sympatry (y)",""
"2920",2,3,160,161,"inNode161",20.11,19.23,"A","A","A","A -> A","in_situ_speciation","–","–","–","","sympatry (y)",""
"2921",2,3,161,162,"inNode162",19.23,10.03,"A","A","AEH","A -> A","in_situ_speciation","A -> AEH","dispersal","17.85","","subset (s)","d"
"2922",2,3,162,163,"inNode163",10.03,8.94,"AEH","AEH","AEH","AEH -> AEH","subset_sympatry","–","–","–","","vicariance (v)",""
"2923",2,3,163,164,"inNode164",8.94,3.84,"AEH","E","ADE","AEH -> E","allopatry","E -> ADE","dispersal","8.8","","vicariance (v)","d"
"2924",2,3,164,165,"inNode165",3.84,0.75,"ADE","AD","ABD","ADE -> AD","allopatry","AD -> ABD","dispersal","1.75","","vicariance (v)","d"
"2925",2,3,164,166,"inNode166",3.84,2.9,"ADE","E","CEJ","ADE -> E","allopatry","E -> CEJ","dispersal","3.8","","vicariance (v)","d"
"2926",2,3,163,167,"inNode167",8.94,1.77,"AEH","AH","ADH","AEH -> AH","allopatry","AH -> ADH","dispersal","7.84","","subset (s)","d"
"2927",2,3,167,168,"inNode168",1.77,1.54,"ADH","ADH","ADH","ADH -> ADH","subset_sympatry","–","–","–","","vicariance (v)",""
"2928",2,3,161,169,"inNode169",19.23,16.5,"A","A","AI","A -> A","in_situ_speciation","A -> AI","dispersal","18.68","","vicariance (v)","d"
"2929",2,3,160,170,"inNode170",20.11,14.43,"A","A","A","A -> A","in_situ_speciation","–","–","–","","sympatry (y)",""
"2930",2,3,170,171,"inNode171",14.43,12.51,"A","A","A","A -> A","in_situ_speciation","–","–","–","","sympatry (y)",""
"2931",2,3,171,172,"inNode172",12.51,2.44,"A","A","AF","A -> A","in_situ_speciation","A -> AF","dispersal","11.75","","subset (s)","d"
"2932",2,3,172,173,"inNode173",2.44,1.82,"AF","AF","AF","AF -> AF","subset_sympatry","–","–","–","","subset (s)",""
"2933",2,3,173,174,"inNode174",1.82,0.8,"AF","AF","AF","AF -> AF","subset_sympatry","–","–","–","","vicariance (v)",""
"2934",2,3,121,175,"inNode175",26.39,23.82,"AI","AI","AI","AI -> AI","subset_sympatry","–","–","–","","subset (s)",""
"2935",2,3,175,176,"inNode176",23.82,21.48,"AI","A","A","AI -> A","subset_sympatry","–","–","–","","sympatry (y)",""
"2936",2,3,176,177,"inNode177",21.48,21.16,"A","A","A","A -> A","in_situ_speciation","–","–","–","","sympatry (y)",""
